iter	Passed	Remaining
778	25746	7304
779	25769	7268
780	25791	7232
781	25817	7197
782	25843	7162
783	25869	7127
784	25893	7091
785	25915	7055
786	25941	7020
787	25969	6986
788	25995	6951
789	26018	6916
790	26041	6880
791	26069	6846
792	26092	6811
793	26114	6775
794	26139	6740
795	26166	6706
796	26192	6671
797	26220	6637
798	26245	6602
799	26273	6568
800	26301	6534
801	26324	6499
802	26348	6464
803	26380	6431
804	26408	6397
805	26437	6363
806	26462	6328
807	26492	6295
808	26514	6259
809	26544	6226
810	26568	6191
811	26598	6158
812	26624	6123
813	26648	6089
814	26674	6054
815	26700	6020
816	26726	5986
817	26755	5952
818	26783	5919
819	26814	5886
820	26843	5852
821	26866	5817
822	26893	5783
823	26924	5750
824	26955	5717
825	26982	5683
826	27006	5649
827	27029	5614
828	27055	5580
829	27080	5546
830	27106	5512
831	27134	5479
832	27159	5444
833	27185	5411
834	27222	5379
835	27248	5345
836	27273	5311
837	27297	5277
838	27328	5244
839	27349	5209
840	27373	5175
841	27397	5141
842	27425	5107
843	27453	5074
844	27478	5040
845	27504	5006
846	27531	4973
847	27558	4939
848	27583	4905
849	27605	4871
850	27632	4838
851	27658	4804
852	27683	4770
853	27708	4737
854	27732	4703
855	27761	4670
856	27784	4636
857	27807	4602
858	27831	4568
859	27857	4534
860	27884	4501
861	27909	4468
862	27935	4434
863	27958	4400
864	27982	4367
865	28006	4333
866	28033	4300
867	28059	4267
868	28087	4234
869	28114	4200
870	28137	4167
871	28163	4134
872	28192	4101
873	28218	4068
874	28243	4034
875	28267	4001
876	28293	3968
877	28316	3934
878	28337	3900
879	28363	3867
880	28389	3834
881	28421	3802
882	28447	3769
883	28473	3736
884	28499	3703
885	28520	3669
886	28544	3636
887	28572	3603
888	28596	3570
889	28626	3538
890	28651	3505
891	28677	3472
892	28703	3439
893	28729	3406
894	28754	3373
895	28782	3340
896	28811	3308
897	28844	3276
898	28868	3243
899	28898	3210
900	28924	3178
901	28954	3145
902	28982	3113
903	29011	3080
904	29038	3048
905	29063	3015
906	29087	2982
907	29113	2949
908	29145	2917
909	29171	2885
910	29199	2852
911	29231	2820
912	29267	2788
913	29299	2756
914	29330	2724
915	29366	2692
916	29401	2661
917	29432	2629
918	29469	2597
919	29496	2564
920	29521	2532
921	29559	2500
922	29587	2468
923	29614	2435
924	29642	2403
925	29669	2371
926	29696	2338
927	29718	2305
928	29742	2273
929	29773	2241
930	29799	2208
931	29825	2176
932	29846	2143
933	29873	2111
934	29899	2078
935	29926	2046
936	29954	2013
937	29977	1981
938	30004	1949
939	30032	1916
940	30058	1884
941	30087	1852
942	30112	1820
